breed,breed_size,breed_group,avg_life_span_years,adaptability,adapts_well_to_apartment_living,good_for_novice_owners,sensitivity_level,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,all_around_friendliness,affectionate_with_family,kid_friendly,dog_friendly,friendly_toward_strangers,health_and_grooming_needs,amount_of_shedding,drooling_potential,easy_to_groom,general_health,potential_for_weight_gain,size,trainability,easy_to_train,intelligence,potential_for_mouthiness,prey_drive,tendency_to_bark_or_howl,wanderlust_potential,physical_needs,energy_level,intensity,exercise_needs,potential_for_playfulness,country_origin,height_min,height_max,weight_min,weight_max,life_span_min,life_span_max,avg_height,avg_weight,lat,long
Patterdale Terrier,Medium,Terrier Dogs,12,2.4,1,2,4,1,4,4,4,4,4,4,4,2.8,2,1,4,4,3,2,3.8,3,5,4,5,2,4,4,4,4,4,4,England,12,15,11,13,11,14,13.50000729,11.904948,52.5310214,-1.2649062
Peekapoo,Medium,Hybrid Dogs,12,3.8,5,5,4,2,3,2,4.33,5,4,4,3,2.4,2,1,2,3,4,1,3.6,3,4,4,3,4,1,2.67,3,2,3,4,United States of America,6,11,4,20,10,15,11.00000594,11.904948,39.7837304,-100.445882
Pekingese,Small,Companion Dogs,14,3.6,5,4,2,3,4,1,3,5,2,2,2,2.2,4,1,1,2,3,1,3.8,3,4,3,5,4,3,1.67,2,1,2,3,China,6,9,7,14,12,15,7.50000405,10.4278526,35.000074,104.999927
Pembroke Welsh Corgi,Large,Herding Dogs,13,3.8,4,4,4,3,4,3,4,5,4,3,5,3.4,5,1,4,3,4,2,4,5,5,2,3,5,2,3.67,4,3,4,4,Wales,10,12,22,31,12,14,11.00000594,29.76237,52.2928116,-3.73893
Petit Basset Griffon Vendéen,Large,Hound Dogs,14,3.4,4,3,3,3,4,3,5,5,5,5,5,2.8,4,1,2,3,4,2,3.6,1,4,3,5,5,5,4.67,5,4,5,5,France,13,15,30,40,12,14,14.00000756,34.722765,46.603354,1.8883335
Pharaoh Hound,Very Large,Hound Dogs,12,3.2,4,4,5,2,1,5,5,5,5,5,4,3,2,1,4,5,3,3,4,3,4,4,5,4,4,3,2,3,4,4,Malta,21,25,45,55,11,14,23.00001242,49.60395,35.8885993,14.4476911
Pitsky,Very Large,Mixed Breed Dogs,14,2.2,2,1,4,1,3,3,4.33,5,5,3,5,3,4,2,3,4,2,3,3.4,3,3,4,3,4,4,4.33,4,4,5,5,United States of America,16,25,30,80,12,16,20.50001107,54.564345,39.7837304,-100.445882
Plott,Very Large,Hound Dogs,13,2,1,1,4,2,2,4,4,4,3,5,3,3.2,2,1,5,5,3,3,3.2,4,3,3,5,1,5,4.33,4,4,5,3,United States of America,20,27,40,75,12,14,23.50001269,57.0555656,39.7837304,-100.445882
Pocket Beagle,Small,Hound Dogs,10,3,4,3,4,2,2,4,5,5,5,5,4,3.4,3,1,5,3,5,2,3.8,3,4,4,3,5,5,4,4,4,4,4,England,7,12,7,15,10,15,9.50000513,10.912869,52.5310214,-1.2649062
Pointer,Very Large,Sporting Dogs,14,1.6,1,1,3,1,2,4,5,5,5,5,5,3,3,1,5,3,3,3,4.6,5,5,5,5,3,5,5,5,5,5,5,England,23,28,45,75,12,15,25.50001377,59.52474,52.5310214,-1.2649062
Polish Lowland Sheepdog,Very Large,Herding Dogs,11,3.4,4,2,4,3,4,4,4,5,4,3,3,2,1,1,1,4,3,3,3.2,4,4,3,3,2,3,3.67,4,3,4,4,Poland,17,20,35,55,10,12,18.50000999,44.643555,52.215933,19.134422
Pomapoo,Small,Mixed Breed Dogs,14,3.6,5,5,4,1,3,2,3.67,5,3,3,3,2.4,3,1,1,3,4,1,3.2,4,4,3,2,3,1,3,3,3,3,4,United States of America,8,10,5,15,12,15,9.00000486,9.92079,39.7837304,-100.445882
Pomchi,Small,Mixed Breed Dogs,15,3,4,3,3,3,2,4,3.33,4,3,3,3,3,3,1,2,5,4,1,3.6,3,4,4,3,4,3,3.33,3,4,3,4,United States of America,6,10,4,12,12,18,8.00000432,7.936632,39.7837304,-100.445882
Pomeagle,Medium,Mixed Breed Dogs,14,3.2,4,4,4,1,3,2,3.67,5,3,3,3,2.8,4,1,2,3,4,1,3.2,3,2,3,3,5,4,3.33,4,3,3,4,United States of America,6,11,5,25,12,15,8.50000459,14.881185,39.7837304,-100.445882
Pomeranian,Very Small,Companion Dogs,14,3.4,4,4,4,1,4,2,3,5,2,2,3,2.8,4,1,2,3,4,1,3.4,4,4,2,2,5,1,2.33,3,2,2,3,Germany,7,12,3,7,12,16,9.50000513,4.960395,51.1638175,10.4478313
Pomsky,Medium,Mixed Breed Dogs,14,3.4,5,2,4,1,5,3,3.33,5,2,3,3,2.6,4,1,2,3,3,2,3.8,3,4,3,4,5,2,3,4,2,3,4,United States of America,10,15,7,38,12,15,12.50000675,22.3107544,39.7837304,-100.445882
Poochon,Small,Mixed Breed Dogs,14,3.8,5,5,5,1,3,4,4.67,5,5,4,4,2,1,1,1,3,4,2,3.4,5,4,3,3,2,2,3.67,4,3,4,5,United States of America,9,15,6,17,12,15,12.00000648,11.4199316,39.7837304,-100.445882
Poodle,Large,Companion Dogs,14,3.6,5,5,4,1,3,4,4.67,5,5,4,4,1.8,1,1,1,2,4,4,3.6,5,5,4,2,2,3,3.67,4,3,4,5,Germany,10,22,6,70,12,15,16.00000864,37.699002,51.1638175,10.4478313
Portuguese Podengo Pequeno,Small,Hound Dogs,14,3.4,5,4,3,3,2,3,4,4,4,4,4,2.8,3,1,4,4,2,1,3.6,4,3,3,4,4,3,3.67,5,3,3,3,Portugal,8,12,9,13,12,15,10.0000054,10.912869,39.6621648,-8.1353519
Portuguese Pointer,Very Large,Sporting Dogs,13,2,1,1,4,1,3,3,3.33,4,4,2,4,3.2,1,3,4,4,4,3,3.4,4,4,3,4,2,3,4.33,4,5,4,4,Portugal,20,22,35,59,12,14,21.00001134,46.627713,39.6621648,-8.1353519
Portuguese Sheepdog,Very Large,Herding Dogs,12,2.8,2,2,4,2,4,3,4,4,4,4,2,3.2,2,1,4,5,4,4,3.4,3,5,3,2,4,2,3.67,4,3,4,3,Portugal,16,22,37,59,12,13,19.00001026,47.619792,39.6621648,-8.1353519
Portuguese Water Dog,Very Large,Working Dogs,12,3.4,4,3,4,2,4,3,5,5,5,5,3,2.2,1,1,2,4,3,3,4,4,5,5,3,3,3,4.33,5,3,5,5,Portugal,17,23,35,60,10,14,20.0000108,47.1347756,39.6621648,-8.1353519
Pudelpointer,Very Large,Working Dogs,12,2.2,2,3,1,2,3,3,3.33,4,3,3,3,3,3,2,3,4,3,4,3.4,4,4,3,4,2,4,4,4,3,5,3,Germany,21,27,40,65,10,14,24.00001296,52.0731244,51.1638175,10.4478313
Pug,Medium,Companion Dogs,14,3.2,5,5,3,1,2,1,4.33,5,4,4,4,3.4,5,1,5,1,5,2,2.4,3,2,2,3,2,2,3.33,3,4,3,5,China,10,14,14,18,12,15,12.00000648,15.873264,35.000074,104.999927
Pugalier,Medium,Mixed Breed Dogs,14,3.8,5,5,5,2,2,2,5,5,5,5,5,3.4,4,1,4,3,5,2,3.2,4,3,3,3,3,2,3,3,3,3,5,United States of America,10,14,10,20,12,15,12.00000648,14.881185,39.7837304,-100.445882
Puggle,Medium,Hybrid Dogs,12,3.6,4,5,3,3,3,3,4.33,3,5,5,5,3.6,3,1,5,4,5,2,2.8,2,3,3,2,4,5,2.67,3,2,3,3,United States of America,13,15,18,30,10,15,14.00000756,23.809896,39.7837304,-100.445882
Puginese,Medium,Mixed Breed Dogs,13,4,5,3,5,4,3,1,3,4,3,2,2,3.2,3,1,4,3,5,2,2.25,2,2,2,NA,3,1,3,3,3,3,4,United States of America,6,14,7,18,12,14,10.0000054,12.3899644,39.7837304,-100.445882
Puli,Large,Herding Dogs,12,3,4,1,4,2,4,3,5,5,5,5,2,2.2,1,1,1,5,3,3,3.4,2,4,3,4,4,5,5,5,5,5,5,Hungary,16,17,25,35,10,15,16.50000891,29.76237,47.1817585,19.5060937
Pyredoodle,Very Large,Mixed Breed Dogs,11,3.4,3,4,3,3,4,3,4.33,5,4,4,3,2.8,2,2,3,4,3,4,3.2,3,5,3,2,3,5,3.67,4,3,4,5,United States of America,15,32,85,100,10,12,23.50001269,91.7562844,39.7837304,-100.445882
Pyrenean Mastiff,Very Large,Working Dogs,12,3.2,2,2,4,4,4,3,4,4,4,4,1,3.4,3,5,3,4,2,5,2.8,3,4,2,2,3,1,3.67,4,4,3,3,Spain,24,31,130,200,10,13,27.50001485,163.693035,39.3260685,-4.8379791
Pyrenean Shepherd,Large,Herding Dogs,16,3.2,5,2,4,1,4,3,4,5,5,2,2,2.4,3,1,3,2,3,2,3.6,2,4,3,4,5,2,4.67,4,5,5,5,France,15,21,25,30,15,17,18.00000972,27.2931956,46.603354,1.8883335
Rat Terrier,Medium,Terrier Dogs,16,3.2,5,3,4,3,1,4,4,4,5,3,4,3.4,4,1,5,4,3,1,3.8,5,4,2,4,4,4,4.33,5,4,4,5,United States of America,13,16,10,25,13,18,14.50000783,17.3724056,39.7837304,-100.445882
Redbone Coonhound,Very Large,Hound Dogs,11,3.2,4,2,5,2,3,2,4.67,5,5,4,3,3.4,2,4,5,3,3,3,3.8,3,4,4,4,4,5,4.33,4,4,5,5,United States of America,21,27,45,70,10,12,24.00001296,57.0555656,39.7837304,-100.445882
Rhodesian Ridgeback,Very Large,Hound Dogs,11,2.4,1,2,4,2,3,3,4.33,5,4,4,3,3.4,4,1,5,4,3,4,3,2,4,3,5,1,5,4.33,4,4,5,5,Zimbabwe,24,27,70,85,10,12,25.50001377,76.8971456,-18.4554963,29.7468414
Rottador,Very Large,Mixed Breed Dogs,11,3,3,2,5,1,4,3,4,5,4,3,3,4,4,4,5,2,5,4,4,4,5,4,3,4,3,5,5,5,5,5,United States of America,24,27,70,115,10,12,25.50001377,91.7562844,39.7837304,-100.445882
Rottle,Very Large,Mixed Breed Dogs,12,3.2,4,3,3,3,3,3,4,5,4,3,3,3,2,2,4,4,3,3,3.6,5,5,3,3,2,2,3.67,4,3,4,5,United States of America,12,27,60,90,9,15,19.50001053,74.405925,39.7837304,-100.445882
Rottweiler,Very Large,Working Dogs,10,2,2,1,4,1,2,3,3.67,5,4,2,4,4,4,4,5,2,5,3,4,4,5,3,4,4,2,4,4,4,4,5,Germany,22,27,85,130,8,11,24.50001323,106.6595156,51.1638175,10.4478313
Saint Berdoodle,Very Large,Mixed Breed Dogs,10,3.2,2,5,3,2,4,3,5,5,5,5,4,3,3,1,4,4,3,4,3.4,4,4,3,3,3,3,3,3,3,3,3,United States of America,15,30,40,180,8,12,22.50001215,109.12869,39.7837304,-100.445882
Saint Bernard,Very Large,Working Dogs,9,3,3,2,4,1,5,1,5,5,5,5,5,3.4,4,5,2,2,4,5,2.2,2,4,3,1,1,2,2.33,3,2,2,4,Switzerland,26,30,120,180,8,10,28.00001512,148.81185,46.7985624,8.2319736
Saluki,Very Large,Hound Dogs,13,2.2,1,2,5,1,2,3,4.33,5,4,4,1,2.4,2,1,4,4,1,4,3.6,4,4,4,5,1,5,4,5,2,5,5,Egypt,23,28,35,70,12,14,27.50001485,66.9763556,26.2540493,29.2675469
Samoyed,Very Large,Working Dogs,13,3,2,2,4,2,5,1,5,5,5,5,5,3,5,2,1,3,4,3,3.4,3,3,3,5,3,4,4,5,2,5,5,Russia,19,24,50,60,12,14,21.50001161,54.564345,64.6863136,97.7453061
Samusky,Very Large,Mixed Breed Dogs,14,3,2,3,3,2,5,3,4.33,4,5,4,4,3,4,2,2,3,4,4,3.2,3,5,3,3,2,4,4,5,3,4,5,United States of America,20,24,45,60,12,15,22.00001188,52.0731244,39.7837304,-100.445882
Schipperke,Medium,Companion Dogs,14,3.2,4,2,4,3,3,2,3.67,4,5,2,2,3.6,3,1,5,4,5,1,3,2,4,3,2,4,5,4.33,5,3,5,5,Belgium,10,15,11,18,13,15,12.50000675,14.3741224,50.6402809,4.6667145
Schnoodle,Very Large,Hybrid Dogs,12,3.2,3,5,4,2,2,4,4,4,5,3,3,2.8,2,1,4,3,4,4,3.4,4,5,3,3,2,3,3.67,4,3,4,4,United States of America,10,26,20,75,10,15,18.00000972,47.1347756,39.7837304,-100.445882
Scottish Deerhound,Very Large,Hound Dogs,10,2.2,1,1,3,2,4,4,3.67,5,4,2,5,3,5,1,2,3,4,5,3,2,3,4,5,1,4,5,5,5,5,5,Scotland,28,32,75,110,8,11,30.0000162,91.7562844,56.7861112,-4.1140518
Scottish Terrier,Medium,Terrier Dogs,12,3.4,4,2,4,3,4,3,4.33,5,4,4,4,2.4,2,1,2,4,3,2,3,1,4,3,3,4,5,4,4,4,4,4,Scotland,10,11,18,22,11,13,10.0000054,19.84158,56.7861112,-4.1140518
Sealyham Terrier,Medium,Terrier Dogs,13,3.6,4,4,4,2,4,3,4,4,4,4,3,3.2,4,3,1,5,3,2,3,3,4,2,2,4,3,3.33,4,2,4,4,Wales,10,11,22,24,12,14,10.0000054,22.817817,52.2928116,-3.73893
Sheepadoodle,Very Large,Mixed Breed Dogs,14,3.8,4,4,5,2,4,3,4.67,5,5,4,4,2.6,1,1,3,4,4,4,2.8,3,5,3,1,2,2,3.67,4,3,4,5,United States of America,16,22,60,80,12,15,19.00001026,69.44553,39.7837304,-100.445882
Shepsky,Very Large,Mixed Breed Dogs,12,2.4,1,1,4,2,4,3,4,5,4,3,4,3,4,2,3,4,2,4,4,4,5,4,4,3,2,4.67,5,4,5,5,United States of America,20,25,45,88,10,14,22.50001215,65.9622304,39.7837304,-100.445882
Shetland Sheepdog,Medium,Herding Dogs,14,3.2,2,3,5,2,4,3,4.67,5,5,4,5,3,5,1,2,4,3,2,3.6,5,5,1,3,4,2,3.33,4,2,4,4,Scotland,13,16,16,20,12,15,14.50000783,19.84158,56.7861112,-4.1140518
Shiba Inu,Medium,Companion Dogs,14,4.2,5,4,3,5,4,3,3.33,4,3,3,3,2.8,4,1,4,3,2,2,3.4,2,4,4,3,4,4,3,4,2,3,3,Japan,13,17,17,23,12,16,15.0000081,19.84158,36.5748441,139.2394179
Shichon,Medium,Mixed Breed Dogs,15,3.2,5,4,4,1,2,2,4.67,5,5,4,4,2.6,1,1,4,4,3,2,2.2,3,4,1,1,2,1,3,4,2,3,5,United States of America,9,12,9,15,12,18,10.50000567,11.904948,39.7837304,-100.445882
Shih-Poo,Medium,Mixed Breed Dogs,15,3.2,5,2,4,2,3,2,3.33,5,3,2,4,2.2,1,1,2,3,4,1,2.6,2,4,3,2,2,2,2,3,1,2,4,United States of America,8,18,8,18,13,17,13.00000702,12.897027,39.7837304,-100.445882
Shih Tzu,Medium,Companion Dogs,13,3.8,5,5,3,3,3,1,4.33,5,4,4,5,2.4,3,1,1,3,4,1,3.4,3,4,4,4,2,2,2.33,2,3,2,4,Tibet,9,10,9,16,10,16,9.50000513,12.3899644,31.6692025,87.473225
Shikoku,Very Large,Companion Dogs,11,3.2,3,2,3,3,5,4,3,4,3,2,2,3.6,4,1,4,5,4,3,2.8,2,4,2,4,2,3,3,3,3,3,2,Japan,17,22,35,55,10,12,19.50001053,44.643555,36.5748441,139.2394179
Shiloh Shepherd,Very Large,Working Dogs,12,2.8,1,2,4,2,5,4,4.67,5,5,4,5,3.6,4,3,4,3,4,5,3.8,5,5,4,1,4,3,4,4,4,4,5,United States of America,26,30,80,130,9,14,28.00001512,104.168295,39.7837304,-100.445882
Shiranian,Small,Mixed Breed Dogs,14,3.2,4,4,4,2,2,1,3.67,5,3,3,4,2.2,2,2,2,2,3,2,2,2,4,1,1,2,2,2.33,2,3,2,4,United States of America,7,12,4,16,12,16,9.50000513,9.92079,39.7837304,-100.445882
Shollie,Very Large,Mixed Breed Dogs,14,2.4,1,2,3,2,4,4,3.67,4,4,3,2,3.2,4,2,3,3,4,4,3.4,4,4,3,3,3,4,4.33,5,4,4,4,United States of America,21,29,70,80,13,15,25.0000135,74.405925,39.7837304,-100.445882
Shorkie,Small,Mixed Breed Dogs,14,2.8,5,3,3,1,2,2,3,4,3,2,3,2.4,2,1,4,2,3,1,3,2,3,2,4,4,3,3,4,3,2,5,United States of America,6,14,5,15,11,16,10.0000054,9.92079,39.7837304,-100.445882
Siberian Husky,Very Large,Working Dogs,14,2.6,2,1,4,1,5,3,5,5,5,5,5,3,4,3,2,4,2,3,3.4,2,3,4,3,5,5,4.33,5,3,5,5,Russia,20,23,35,60,12,15,21.50001161,47.1347756,64.6863136,97.7453061
Silken Windhound,Large,Hound Dogs,17,3.6,4,4,4,2,4,4,4,5,4,3,4,2.8,2,2,4,4,2,3,3.6,5,4,3,5,1,4,3.33,4,2,4,5,United States of America,18,23,20,55,14,20,15.33465395,37.2139856,39.7837304,-100.445882
Silky Terrier,Small,Companion Dogs,14,3,5,3,3,3,1,4,3,4,3,2,3,2.8,2,1,4,4,3,1,3.8,4,4,2,5,4,3,3.67,4,4,3,4,Australia,9,10,8,10,12,15,9.50000513,8.928711,-24.7761086,134.755
Skye Terrier,Large,Terrier Dogs,13,3.4,4,4,3,2,4,4,3.33,4,4,2,5,3,3,1,3,5,3,2,3.4,2,4,3,4,4,4,3.33,3,4,3,4,Scotland,9,10,25,40,12,14,9.50000513,32.2315444,56.7861112,-4.1140518
Sloughi,Very Large,Hound Dogs,14,3,4,2,4,3,2,3,4.67,5,5,4,3,2.8,3,1,5,3,2,4,3.4,3,4,3,5,2,3,4.33,5,3,5,3,Morocco,24,29,40,63,12,16,26.50001431,51.1030916,28.3347722,-10.3713379
Small Munsterlander Pointer,Very Large,Sporting Dogs,13,3,1,2,3,4,5,3,5,5,5,5,4,3,3,1,3,5,3,3,4.2,5,5,3,5,3,4,4.67,4,5,5,4,Germany,19,22,40,60,12,14,20.50001107,49.60395,51.1638175,10.4478313
Soft Coated Wheaten Terrier,Large,Terrier Dogs,14,3.4,5,4,4,2,2,3,5,5,5,5,5,2.6,2,1,3,4,3,3,3.2,4,4,2,3,3,4,3.67,4,3,4,5,Ireland,17,19,30,40,12,15,18.00000972,34.722765,52.865196,-7.9794599
Spanish Mastiff,Very Large,Working Dogs,11,2.6,2,1,3,3,4,3,3.33,4,4,2,2,3,3,2,3,4,3,5,2,2,4,2,1,1,2,2.67,3,2,3,4,Spain,26,35,140,220,10,12,30.50001647,178.57422,39.3260685,-4.8379791
Spinone Italiano,Very Large,Sporting Dogs,12,3.8,4,4,5,2,4,3,5,5,5,5,5,2.8,3,4,2,3,2,4,3.2,4,4,2,4,2,2,3.33,4,2,4,4,Italy,22,28,61,86,10,14,25.0000135,72.9288296,42.6384261,12.674297
Springador,Very Large,Mixed Breed Dogs,12,2.8,2,3,4,1,4,4,3.33,4,3,3,3,3,1,2,4,4,4,4,3.8,5,5,2,4,3,4,3.67,4,3,4,4,United States of America,18,24,50,90,10,14,21.00001134,69.44553,39.7837304,-100.445882
Stabyhoun,Very Large,Sporting Dogs,14,2.8,2,3,4,3,2,2,4.67,5,5,4,3,3,3,1,3,5,3,3,3.6,5,5,1,4,3,3,3.67,3,4,4,5,Netherlands,19,20,45,50,13,14,19.50001053,47.1347756,52.2434979,5.6343227
Staffordshire Bull Terrier,Large,Terrier Dogs,13,2.6,3,1,4,2,3,1,3.67,5,5,1,5,3.6,3,3,5,3,4,2,2.4,2,3,2,2,3,4,3.33,3,3,4,5,England,14,16,24,38,12,14,15.0000081,30.754449,52.5310214,-1.2649062
Staffy Bull Bullmastiff,Very Large,Hybrid Dogs,14,2.6,4,1,3,2,3,1,3.33,5,4,1,1,2.8,3,2,4,3,2,4,2,1,3,3,2,1,2,2,1,4,1,3,United States of America,14,27,38,130,12,16,20.50001107,83.334636,39.7837304,-100.445882
Schnauzer,Large,Working Dogs,14,3.2,4,2,4,2,4,4,3.67,4,4,3,2,2,1,1,2,5,1,3,3.6,3,5,3,5,2,5,4.33,5,3,5,5,Germany,17,20,30,50,13,16,18.50000999,39.68316,51.1638175,10.4478313
Sussex Spaniel,Large,Sporting Dogs,12,4.2,5,5,5,1,5,5,5,5,5,5,5,3.4,3,1,4,4,5,2,3,3,5,2,1,4,1,1.67,2,1,2,4,England,13,15,35,45,11,14,14.00000756,39.68316,52.5310214,-1.2649062
Swedish Lapphund,Large,Herding Dogs,13,3,2,2,4,2,5,2,4,4,4,4,4,2.6,4,2,2,3,2,3,3.8,4,5,4,2,4,2,3.33,3,4,3,4,Sweden,16,20,30,45,12,14,18.00000972,37.2139856,59.6749712,14.5208584
Swedish Vallhund,Large,Herding Dogs,14,2.8,3,1,3,3,4,3,4,5,4,3,5,3.6,4,1,5,4,4,3,3.4,5,5,2,4,1,3,4.33,5,3,5,5,Sweden,11,13,22,35,12,15,12.00000648,28.2632284,59.6749712,14.5208584
Taiwan Dog,Large,Hound Dogs,12,2.8,3,2,3,2,4,4,3.67,4,3,4,2,3.4,3,3,4,4,3,3,3.6,4,4,3,4,3,4,3.67,4,3,4,4,Taiwan,16,21,25,40,10,13,18.50000999,32.2315444,23.9739374,120.9820179
Terripoo,Medium,Mixed Breed Dogs,12,3.2,5,5,2,1,3,4,4,5,4,3,3,2.2,1,1,3,3,3,1,3.6,4,5,2,4,3,3,4,5,3,4,5,United States of America,9,15,10,14,10,15,12.00000648,11.904948,39.7837304,-100.445882
Texas Heeler,Large,Mixed Breed Dogs,14,3,2,3,3,3,4,3,3.33,4,3,3,3,3.4,4,2,3,3,5,3,3.4,3,5,4,3,2,4,4.33,5,3,5,4,United States of America,16,22,25,50,12,15,19.00001026,37.2139856,39.7837304,-100.445882
Thai Ridgeback,Very Large,Companion Dogs,12,2.4,2,2,2,2,4,3,2.67,3,2,3,3,3.2,3,2,4,4,3,3,2.8,2,4,2,4,2,4,4,4,4,4,3,Thailand,20,24,35,75,10,13,22.00001188,54.564345,14.8971921,100.83273
Tibetan Mastiff,Very Large,Working Dogs,12,2.6,1,1,5,1,5,2,5,5,5,5,2,3,2,2,4,3,4,5,3.2,1,5,5,3,2,3,2.67,4,2,2,5,Tibet,24,26,75,160,10,14,25.0000135,116.5803056,31.6692025,87.473225
Tibetan Spaniel,Medium,Companion Dogs,14,3.2,5,4,5,1,1,2,4.67,5,5,4,3,3.2,3,1,4,5,3,1,3.6,4,4,3,3,4,3,3.33,3,3,4,4,Tibet,9,11,9,15,12,15,10.0000054,11.904948,31.6692025,87.473225
Tibetan Terrier,Medium,Companion Dogs,14,3.4,5,3,4,1,4,4,4.67,5,5,4,3,2.2,1,1,1,5,3,2,3.2,4,4,2,2,4,3,4.67,5,4,5,5,Tibet,14,16,20,24,12,15,15.0000081,21.825738,31.6692025,87.473225
Toy Fox Terrier,Very Small,Companion Dogs,14,3,5,3,4,1,2,3,4,5,4,3,3,3.4,4,1,5,5,2,1,3.6,3,4,2,5,4,4,4.67,5,4,5,5,United States of America,8,11,3,7,13,14,9.50000513,4.960395,39.7837304,-100.445882
Transylvanian Hound,Very Large,Hound Dogs,11,2.6,3,2,2,3,3,3,3.33,4,3,3,2,3.4,3,3,4,4,3,3,3.2,2,4,3,4,3,4,4.33,4,4,5,4,Hungary,18,25,55,77,10,12,21.50001161,65.477214,47.1817585,19.5060937
Treeing Tennessee Brindle,Large,Hound Dogs,11,2.2,1,2,3,2,3,3,4,4,4,4,3,3.8,4,3,5,4,3,3,3,3,4,3,4,1,1,4.33,4,4,5,3,United States of America,16,24,30,45,10,12,20.0000108,37.2139856,39.7837304,-100.445882
Treeing Walker Coonhound,Very Large,Hound Dogs,12,2.6,1,2,5,2,3,3,3.67,4,4,3,3,3.4,3,2,5,4,3,4,3.6,2,4,3,4,5,5,4.33,4,4,5,3,United States of America,20,27,45,80,12,13,23.50001269,61.9939144,39.7837304,-100.445882
Valley Bulldog,Very Large,Mixed Breed Dogs,10,2.8,4,3,4,2,1,1,4,5,4,3,4,3.8,4,3,5,3,4,4,3,3,3,2,3,4,1,4,4,4,4,4,Canada,12,25,50,125,8,12,18.50000999,86.8179356,61.0666922,-107.991707
Vizsla,Very Large,Sporting Dogs,12,2.2,1,3,5,1,1,4,5,5,5,5,5,2.8,2,1,5,4,2,3,4,5,4,4,2,5,5,4.67,5,4,5,5,Hungary,21,24,45,65,10,14,22.50001215,54.564345,47.1817585,19.5060937
Weimaraner,Very Large,Sporting Dogs,12,2.4,1,2,5,1,3,4,4,5,4,3,3,3.6,4,4,5,3,2,4,4.2,4,5,5,5,2,5,5,5,5,5,5,Germany,23,27,55,85,11,13,25.0000135,69.44553,51.1638175,10.4478313
Welsh Springer Spaniel,Very Large,Sporting Dogs,12,3.6,4,4,5,1,4,4,4.67,5,5,4,3,3.2,3,1,4,4,4,3,4.2,5,5,3,3,5,5,4.67,5,4,5,4,Wales,17,19,35,55,10,15,18.00000972,44.643555,52.2928116,-3.73893
Welsh Terrier,Medium,Terrier Dogs,12,2.6,3,3,3,2,2,2,4.67,4,5,5,4,2.6,2,1,2,5,3,2,3.8,3,5,2,5,4,4,5,5,5,5,5,Wales,14,15,15,22,10,14,14.50000783,19.84158,52.2928116,-3.73893
West Highland White Terrier,Medium,Terrier Dogs,14,3.6,4,4,4,2,4,3,4.67,5,4,5,3,3,4,1,3,3,4,2,3.6,4,4,2,4,4,3,4,4,4,4,4,Scotland,10,11,13,22,12,16,10.50000567,17.3724056,56.7861112,-4.1140518
Westiepoo,Large,Mixed Breed Dogs,14,3,3,4,4,1,3,3,4,4,4,4,4,3,1,1,5,4,4,2,3.6,4,4,3,4,3,3,4,4,4,4,5,United States of America,11,17,20,35,12,15,14.00000756,27.2931956,39.7837304,-100.445882
Whippet,Large,Hound Dogs,14,3.2,5,3,5,2,1,4,4.67,5,5,4,4,2.6,2,1,5,4,1,3,3.6,4,4,4,5,1,4,4,5,2,5,5,England,18,22,18,48,12,15,20.0000108,32.738607,52.5310214,-1.2649062
Whoodle,Large,Mixed Breed Dogs,14,2.6,4,1,3,1,4,2,3.67,4,4,3,4,2.4,2,1,3,4,2,3,2,2,4,1,2,1,3,4,4,4,4,4,United States of America,12,20,20,45,12,15,16.00000864,32.2315444,39.7837304,-100.445882
Wirehaired Pointing Griffon,Very Large,Sporting Dogs,12,2.6,1,3,4,1,4,3,4.67,5,5,4,5,2.4,1,1,3,4,3,3,4.2,5,5,3,4,4,4,4,5,3,4,5,Netherlands,20,24,50,60,10,14,22.00001188,54.564345,52.2434979,5.6343227
Xoloitzcuintli,Large,Companion Dogs,17,3,5,1,5,1,3,3,3.33,5,3,2,1,3,1,1,5,5,3,3,4.2,3,5,3,5,5,5,3,3,3,3,3,Mexico,18,23,10,50,14,20,20.50001107,29.76237,23.6585116,-102.0077097
Yakutian Laika,Very Large,Working Dogs,11,2.6,1,3,3,1,5,3,4.33,5,4,4,4,3.2,4,2,3,4,3,3,3.4,4,4,2,3,4,3,4,4,3,5,4,Russia,20,23,40,55,10,12,21.50001161,47.1347756,64.6863136,97.7453061
Yorkipoo,Small,Hybrid Dogs,12,3.8,5,5,4,3,2,3,4,5,4,3,2,2.2,1,1,4,3,2,1,3.8,4,4,3,3,5,2,3.67,5,3,3,4,United States of America,7,15,3,14,10,15,11.00000594,8.4216484,39.7837304,-100.445882
Yorkshire Terrier,Very Small,Companion Dogs,14,3.6,5,4,5,2,2,2,3,4,2,3,2,2.2,2,1,2,4,2,1,2.6,3,3,2,2,3,3,4.33,5,4,4,5,England,8,9,4,6,12,15,8.50000459,4.960395,52.5310214,-1.2649062
